Протокол,Проверенное утверждение,Источник,Проблема,Исправление,Статус
abdominal_distension_ascites.json,"/emergency_red_flags/0: Быстрое увеличение живота с непродуктивными рвотными позывами, беспокойством и слабостью — подозрение на GDV у собаки.",ACVS — Gastric Dilatation-Volvulus https://www.acvs.org/small-animal/gastric-dilatation-volvulus/; Signs and symptoms,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
acute_abdomen.json,/emergency_red_flags/1: Вздутие живота с непродуктивными рвотными позывами — риск GDV.,ACVS — Gastric Dilatation-Volvulus https://www.acvs.org/small-animal/gastric-dilatation-volvulus/; Signs and symptoms,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
acute_diarrhea.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
acute_kidney_injury.json,"/management_principles/0: Устранить обратимую причину и корректировать дефицит жидкости, но не использовать бесконтрольную инфузию для 'промывания почек'.",AAHA 2024 Fluid Therapy — Section 5: Fluid Therapy in Ill Patients https://www.aaha.org/resources/2024-aaha-fluid-therapy-guidelines-for-dogs-and-cats/section-5-fluid-therapy-in-ill-patients/; Azotemia,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
acute_kidney_injury.json,/management_principles/1: После достижения эуволемии жидкость назначать по текущим потерям/диурезу и мониторингу.,AAHA 2024 Fluid Therapy — Section 5: Fluid Therapy in Ill Patients https://www.aaha.org/resources/2024-aaha-fluid-therapy-guidelines-for-dogs-and-cats/section-5-fluid-therapy-in-ill-patients/; Azotemia,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
acute_paraparesis_paralysis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
anemia.json,"/management_principles/0: Решение о трансфузии принимать по клинической декомпенсации, скорости падения HCT/PCV и причине, а не по единственному универсальному порогу.",AAHA 2024 Fluid Therapy — Section 5: Fluid Therapy in Ill Patients https://www.aaha.org/resources/2024-aaha-fluid-therapy-guidelines-for-dogs-and-cats/section-5-fluid-therapy-in-ill-patients/; Anemia,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
babesiosis.json,"/etiotropic_treatment/large_babesia/regimen: Имидокарб дипропионат 6.6 мг/кг в/м или п/к, повтор через 14 дней.",CAPC — Babesia spp. https://capcvet.org/guidelines/babesia/; Treatment — large vs small Babesia,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
babesiosis.json,/etiotropic_treatment/small_babesia/regimen: Атоваквон 13.3 мг/кг внутрь каждые 8 часов 10 дней + азитромицин 10 мг/кг внутрь каждые 24 часа 10 дней.,CAPC — Babesia spp. https://capcvet.org/guidelines/babesia/; Treatment — large vs small Babesia,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
babesiosis.json,"/sources/0/key_points: Large Babesia: imidocarb dipropionate 6.6 mg/kg IM or SC, repeated in 14 days. Small Babesia/B. gibsoni: atovaquone 13.3 mg/kg PO q8h + azithromycin 10 mg/kg PO q24h for 10 days.",CAPC — Babesia spp. https://capcvet.org/guidelines/babesia/; Treatment — large vs small Babesia,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
